epoch,loss,val_loss
0,24.0103695017,23.793682366
1,23.6155930221,23.6142617664
2,23.5654667206,23.64160445
3,23.543405493,23.5791862349
4,23.535999435,23.5695187443
5,23.5293719347,23.5622261453
6,23.5216103559,23.5883255557
7,23.5207661495,23.5626517299
8,23.515965818,23.5499830962
9,23.5076271313,23.6188902707
10,23.5071355948,23.5375749081
11,23.5048225408,23.5583706353
12,23.5069320229,23.5577121139
13,23.5022398566,23.5441002348
14,23.5008134716,23.5684719972
